Kod;Nazwa;Ważniejsze przyczyny wypadków;Rok;Wartosc;Jednostka miary;Atrybut
0000000;POLSKA;wina kierujących pojazdami - niezachowanie bezpiecznej odległości między pojazdami;2020;1535;szt.; 
0000000;POLSKA;wina kierujących pojazdami - niezachowanie bezpiecznej odległości między pojazdami;2021;1607;szt.; 
0000000;POLSKA;wina kierujących pojazdami - niezachowanie bezpiecznej odległości między pojazdami;2022;1663;szt.; 
0000000;POLSKA;wina kierujących pojazdami - niezachowanie bezpiecznej odległości między pojazdami;2023;1538;szt.; 
0000000;POLSKA;wina kierujących pojazdami - pozostałe;2014;5491;szt.; 
0000000;POLSKA;wina kierujących pojazdami - pozostałe;2015;5275;szt.; 
0000000;POLSKA;wina kierujących pojazdami - pozostałe;2016;6242;szt.; 
0000000;POLSKA;wina kierujących pojazdami - pozostałe;2017;6056;szt.; 
0000000;POLSKA;wina kierujących pojazdami - pozostałe;2018;6385;szt.; 
0000000;POLSKA;wina kierujących pojazdami - pozostałe;2019;5960;szt.; 
0000000;POLSKA;wina kierujących pojazdami - pozostałe;2020;4387;szt.; 
0000000;POLSKA;wina kierujących pojazdami - pozostałe;2021;4536;szt.; 
0000000;POLSKA;wina kierujących pojazdami - pozostałe;2022;4965;szt.; 
0000000;POLSKA;wina kierujących pojazdami - pozostałe;2023;4727;szt.; 
0000000;POLSKA;wina pieszych - ogółem;2014;3050;szt.; 
0000000;POLSKA;wina pieszych - ogółem;2015;2619;szt.; 
0000000;POLSKA;wina pieszych - ogółem;2016;2449;szt.; 
0000000;POLSKA;wina pieszych - ogółem;2017;2378;szt.; 
0000000;POLSKA;wina pieszych - ogółem;2018;2113;szt.; 
0000000;POLSKA;wina pieszych - ogółem;2019;1879;szt.; 
0000000;POLSKA;wina pieszych - ogółem;2020;1385;szt.; 
0000000;POLSKA;wina pieszych - ogółem;2021;1218;szt.; 
0000000;POLSKA;wina pieszych - ogółem;2022;1085;szt.; 
0000000;POLSKA;wina pieszych - ogółem;2023;1007;szt.; 
0000000;POLSKA;wina pieszych - nieostrożne wejście na jezdnię;2014;2061;szt.; 
0000000;POLSKA;wina pieszych - nieostrożne wejście na jezdnię;2015;1733;szt.; 
0000000;POLSKA;wina pieszych - nieostrożne wejście na jezdnię;2016;1548;szt.; 
0000000;POLSKA;wina pieszych - nieostrożne wejście na jezdnię;2017;1452;szt.; 
0000000;POLSKA;wina pieszych - nieostrożne wejście na jezdnię;2018;1270;szt.; 
0000000;POLSKA;wina pieszych - nieostrożne wejście na jezdnię;2019;1142;szt.; 
0000000;POLSKA;wina pieszych - nieostrożne wejście na jezdnię;2020;830;szt.; 
0000000;POLSKA;wina pieszych - nieostrożne wejście na jezdnię;2021;759;szt.; 
0000000;POLSKA;wina pieszych - nieostrożne wejście na jezdnię;2022;678;szt.; 
0000000;POLSKA;wina pieszych - nieostrożne wejście na jezdnię;2023;622;szt.; 
0000000;POLSKA;wina pieszych - pozostałe;2014;-;szt.; 
0000000;POLSKA;wina pieszych - pozostałe;2015;-;szt.; 
0000000;POLSKA;wina pieszych - pozostałe;2016;-;szt.; 
0000000;POLSKA;wina pieszych - pozostałe;2017;-;szt.; 
0000000;POLSKA;wina pieszych - pozostałe;2018;-;szt.; 
