Kod;Nazwa;Ważniejsze przyczyny wypadków;Rok;Wartosc;Jednostka miary;Region_Type
0;POLSKA;wina kierujących pojazdami - nieprawidłowe zachowanie wobec pieszych;2022;2835;szt.;kraj
0;POLSKA;wina kierujących pojazdami - nieprawidłowe zachowanie wobec pieszych;2023;3084;szt.;kraj
0;POLSKA;wina kierujących pojazdami - niezachowanie bezpiecznej odległości między pojazdami;2014;2323;szt.;kraj
0;POLSKA;wina kierujących pojazdami - niezachowanie bezpiecznej odległości między pojazdami;2015;2372;szt.;kraj
0;POLSKA;wina kierujących pojazdami - niezachowanie bezpiecznej odległości między pojazdami;2016;2521;szt.;kraj
0;POLSKA;wina kierujących pojazdami - niezachowanie bezpiecznej odległości między pojazdami;2017;2555;szt.;kraj
0;POLSKA;wina kierujących pojazdami - niezachowanie bezpiecznej odległości między pojazdami;2018;2293;szt.;kraj
0;POLSKA;wina kierujących pojazdami - niezachowanie bezpiecznej odległości między pojazdami;2019;2216;szt.;kraj
0;POLSKA;wina kierujących pojazdami - niezachowanie bezpiecznej odległości między pojazdami;2020;1535;szt.;kraj
0;POLSKA;wina kierujących pojazdami - niezachowanie bezpiecznej odległości między pojazdami;2021;1607;szt.;kraj
0;POLSKA;wina kierujących pojazdami - niezachowanie bezpiecznej odległości między pojazdami;2022;1663;szt.;kraj
0;POLSKA;wina kierujących pojazdami - niezachowanie bezpiecznej odległości między pojazdami;2023;1538;szt.;kraj
0;POLSKA;wina kierujących pojazdami - pozostałe;2014;5491;szt.;kraj
0;POLSKA;wina kierujących pojazdami - pozostałe;2015;5275;szt.;kraj
0;POLSKA;wina kierujących pojazdami - pozostałe;2016;6242;szt.;kraj
0;POLSKA;wina kierujących pojazdami - pozostałe;2017;6056;szt.;kraj
0;POLSKA;wina kierujących pojazdami - pozostałe;2018;6385;szt.;kraj
0;POLSKA;wina kierujących pojazdami - pozostałe;2019;5960;szt.;kraj
0;POLSKA;wina kierujących pojazdami - pozostałe;2020;4387;szt.;kraj
0;POLSKA;wina kierujących pojazdami - pozostałe;2021;4536;szt.;kraj
0;POLSKA;wina kierujących pojazdami - pozostałe;2022;4965;szt.;kraj
0;POLSKA;wina kierujących pojazdami - pozostałe;2023;4727;szt.;kraj
0;POLSKA;wina pieszych - ogółem;2014;3050;szt.;kraj
0;POLSKA;wina pieszych - ogółem;2015;2619;szt.;kraj
0;POLSKA;wina pieszych - ogółem;2016;2449;szt.;kraj
0;POLSKA;wina pieszych - ogółem;2017;2378;szt.;kraj
0;POLSKA;wina pieszych - ogółem;2018;2113;szt.;kraj
0;POLSKA;wina pieszych - ogółem;2019;1879;szt.;kraj
0;POLSKA;wina pieszych - ogółem;2020;1385;szt.;kraj
0;POLSKA;wina pieszych - ogółem;2021;1218;szt.;kraj
0;POLSKA;wina pieszych - ogółem;2022;1085;szt.;kraj
0;POLSKA;wina pieszych - ogółem;2023;1007;szt.;kraj
0;POLSKA;wina pieszych - nieostrożne wejście na jezdnię;2014;2061;szt.;kraj
0;POLSKA;wina pieszych - nieostrożne wejście na jezdnię;2015;1733;szt.;kraj
0;POLSKA;wina pieszych - nieostrożne wejście na jezdnię;2016;1548;szt.;kraj
0;POLSKA;wina pieszych - nieostrożne wejście na jezdnię;2017;1452;szt.;kraj
0;POLSKA;wina pieszych - nieostrożne wejście na jezdnię;2018;1270;szt.;kraj
0;POLSKA;wina pieszych - nieostrożne wejście na jezdnię;2019;1142;szt.;kraj
0;POLSKA;wina pieszych - nieostrożne wejście na jezdnię;2020;830;szt.;kraj
0;POLSKA;wina pieszych - nieostrożne wejście na jezdnię;2021;759;szt.;kraj
0;POLSKA;wina pieszych - nieostrożne wejście na jezdnię;2022;678;szt.;kraj
0;POLSKA;wina pieszych - nieostrożne wejście na jezdnię;2023;622;szt.;kraj
0;POLSKA;wina pieszych - pozostałe;2014;-;szt.;kraj
0;POLSKA;wina pieszych - pozostałe;2015;-;szt.;kraj
0;POLSKA;wina pieszych - pozostałe;2016;-;szt.;kraj
0;POLSKA;wina pieszych - pozostałe;2017;-;szt.;kraj
0;POLSKA;wina pieszych - pozostałe;2018;-;szt.;kraj
0;POLSKA;wina pieszych - pozostałe;2019;-;szt.;kraj
0;POLSKA;wina pieszych - pozostałe;2020;-;szt.;kraj
0;POLSKA;wina pieszych - pozostałe;2021;459;szt.;kraj
0;POLSKA;wina pieszych - pozostałe;2022;407;szt.;kraj
0;POLSKA;wina pieszych - pozostałe;2023;385;szt.;kraj
0;POLSKA;wina pasażerów;2014;-;szt.;kraj
0;POLSKA;wina pasażerów;2015;-;szt.;kraj
0;POLSKA;wina pasażerów;2016;-;szt.;kraj
0;POLSKA;wina pasażerów;2017;-;szt.;kraj
0;POLSKA;wina pasażerów;2018;-;szt.;kraj
0;POLSKA;wina pasażerów;2019;-;szt.;kraj
0;POLSKA;wina pasażerów;2020;-;szt.;kraj
0;POLSKA;wina pasażerów;2021;-;szt.;kraj
0;POLSKA;wina pasażerów;2022;-;szt.;kraj
0;POLSKA;wina pasażerów;2023;128;szt.;kraj
0;POLSKA;współwina;2014;-;szt.;kraj
0;POLSKA;współwina;2015;-;szt.;kraj
0;POLSKA;współwina;2016;-;szt.;kraj
0;POLSKA;współwina;2017;-;szt.;kraj
0;POLSKA;współwina;2018;-;szt.;kraj
0;POLSKA;współwina;2019;-;szt.;kraj
0;POLSKA;współwina;2020;-;szt.;kraj
0;POLSKA;współwina;2021;-;szt.;kraj
0;POLSKA;współwina;2022;-;szt.;kraj
0;POLSKA;współwina;2023;193;szt.;kraj
